program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
28,Process,GO:0009152,NA,Purine ribonucleotide biosynthetic process,2.91e-17,9.18e-20,28,185,10090,Aprt|Atp5e|Nme2|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Atp5h|Atp5g3|Nme1|Atp5j2|Acot7|Ndufa12|Atp5g2
28,Process,GO:0046390,NA,Ribose phosphate biosynthetic process,5.21e-17,1.68e-19,29,209,10090,Aprt|Atp5e|Nme2|Tkt|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Atp5h|Atp5g3|Nme1|Atp5j2|Acot7|Ndufa12|Atp5g2
28,Process,GO:0009165,NA,Nucleotide biosynthetic process,6.03e-16,2.09e-18,30,253,10090,Aprt|Atp5e|Nme2|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Dtymk|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Atp5h|Atp5g3|Nme1|Atp5j2|Dctd|Acot7|Ndufa12|Atp5g2
28,Process,GO:0009117,NA,Nucleotide metabolic process,9.04e-16,3.25e-18,39,484,10090,Aprt|Pgam1|Atp5e|Hint1|Galk1|Nme2|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Dtymk|Atp1b1|Ola1|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Dctpp1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Park7|Atp5h|Ran|Atp5g3|Gapdh|Nme1|Atp5j2|Dctd|Acot7|Ndufa12|Atp5g2
28,Process,GO:0034470,NA,ncRNA processing,1.53e-15,5.7e-18,35,384,10090,Emg1|Mettl1|Nop10|Ebna1bp2|Fbl|Rbm3|Gtf2h5|Rpl10a|Rps21|Rps15|Npm3|Rpl7|Npm1|Rps25|Rps17|Rpl35|Rpl5|Hnrnpa2b1|Rpl11|Rps8|Rps6|Rpl7a|Rpl27|Rps16|Rps19|Rpl35a|Pa2g4|Srsf3|Lsm6|Nhp2|Rpl26|Rpl14|Rps28|Rps24|Rps14
28,Process,GO:0015986,NA,Proton motive force-driven ATP synthesis,1.53e-15,5.79e-18,19,69,10090,Atp5e|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Ndufc2|Ndufab1|Ndufc1|Atp5l|Atp5k|Ndufa8|Atp5g1|Atp5d|Atp5h|Atp5g3|Atp5j2|Ndufa12|Atp5g2
28,Process,GO:0009150,NA,Purine ribonucleotide metabolic process,2.32e-15,8.93e-18,35,390,10090,Aprt|Pgam1|Atp5e|Hint1|Galk1|Nme2|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Atp1b1|Ola1|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Atp5h|Ran|Atp5g3|Gapdh|Nme1|Atp5j2|Acot7|Ndufa12|Atp5g2
28,Process,GO:0046034,NA,ATP metabolic process,2.32e-15,8.96e-18,25,165,10090,Pgam1|Atp5e|Galk1|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Atp1b1|Ola1|Ndufc2|Ndufab1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Atp5g1|Atp5d|Atp5h|Atp5g3|Gapdh|Atp5j2|Ndufa12|Atp5g2
28,Process,GO:0006754,NA,ATP biosynthetic process,2.68e-15,1.06e-17,20,85,10090,Atp5e|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Ndufc2|Ndufab1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Atp5g1|Atp5d|Atp5h|Atp5g3|Atp5j2|Ndufa12|Atp5g2
28,Process,GO:0019693,NA,Ribose phosphate metabolic process,3.27e-15,1.32e-17,36,422,10090,Aprt|Pgam1|Atp5e|Hint1|Galk1|Nme2|Tkt|Atp5j|Atp5o|Nme4|Ndufb8|Atp5b|Atp5a1|Atic|Atp1b1|Ola1|Ndufc2|Ndufab1|Acat1|Pkm|Ndufc1|Atp5l|Atp5k|Ndufa8|Impdh2|Atp5g1|Atp5d|Atp5h|Ran|Atp5g3|Gapdh|Nme1|Atp5j2|Acot7|Ndufa12|Atp5g2
28,Process,GO:0042274,NA,Ribosomal small subunit biogenesis,4.29e-15,1.76e-17,19,74,10090,Rpsa|Gtf2h5|Rps21|Rps15|Npm1|Rps25|Rps17|Rps2|Rps8|Rps6|Rpl38|Rps16|Rps19|Rps5|Lsm6|Rps27l|Rps28|Rps24|Rps14
28,Process,GO:0042273,NA,Ribosomal large subunit biogenesis,6.37e-15,2.69e-17,19,76,10090,Rpl24|Nop16|Ebna1bp2|Rpl6|Rpl10a|Rpl7|Npm1|Rpl35|Rpl5|Rpl10|Rplp0|Rpl23a|Rpl11|Rpl7a|Rpl38|Rpl35a|Nhp2|Rpl26|Rpl14
28,Process,GO:0042255,NA,Ribosome assembly,7.46e-15,3.2e-17,18,64,10090,Rpl24|Rpl6|Rpsa|Rps15|C1qbp|Rps25|Rpl5|Rpl10|Rplp0|Rps2|Rpl23a|Rpl11|Rpl38|Rps19|Rps5|Rps27l|Rps28|Rps14
28,Process,GO:0006417,NA,Regulation of translation,1.87e-13,8.87e-16,35,458,10090,Calr|Cdk4|Rplp1|Rack1|Uqcc2|Ncl|Rps3a1|Cnbp|Rps3|Pkm|Rbm3|Eef1a1|Eif5a|Bzw1|Npm1|C1qbp|Ybx1|Rpl5|Rpl10|Eef1g|Eif3i|Rpl38|Rps9|Eef1d|Gapdh|Pa2g4|Rpl13a|Eef1b2|Rpl22|Rps27l|Eif4a1|Rpl26|Hnrnpd|Ddx39b|Rps14
28,KEGG,mmu03040,NA,Spliceosome,6.31e-12,1.71e-13,19,131,10090,Snrpd1|Snrpf|Snrpd3|Alyref|Lsm4|Snrpd2|Hnrnpa1|Lsm7|Snrpa|Snrpg|Snrpb|Sf3b5|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Snrpe|Ddx39b
28,Process,GO:1902600,NA,Proton transmembrane transport,1.55e-11,8.03e-14,19,125,10090,Cox5a|Atp5e|Slc25a5|Atp5j|Atp5o|Atp5b|Atp5a1|Atp1b1|Cox7b|Slc25a4|Cox6a1|Atp5l|Atp5k|Atp5g1|Atp5d|Atp5h|Atp5g3|Atp5j2|Atp5g2
28,Process,GO:0042776,NA,Proton motive force-driven mitochondrial ATP synthesis,1.84e-11,9.65e-14,15,62,10090,Atp5e|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Ndufc2|Ndufab1|Ndufc1|Atp5k|Ndufa8|Atp5d|Atp5h|Atp5j2|Ndufa12
28,Process,GO:0022904,NA,Respiratory electron transport chain,8.3e-11,4.46e-13,17,102,10090,Cox5a|Etfb|Uqcr11|Uqcrb|Ndufb8|Ndufc2|Cox8a|Mybbp1a|Cox6a1|Uqcrq|Uqcr10|Ndufa8|Cox7c|Cox6c|Cycs|Ndufa12|Cox5b
28,Process,GO:0042775,NA,Mitochondrial ATP synthesis coupled electron transport,1.37e-10,7.6e-13,15,73,10090,Cox5a|Uqcr11|Uqcrb|Ndufb8|Ndufc2|Cox8a|Cox6a1|Uqcrq|Uqcr10|Ndufa8|Cox7c|Cox6c|Cycs|Ndufa12|Cox5b
28,Process,GO:0022900,NA,Electron transport chain,1.5e-10,8.4e-13,18,125,10090,Cox5a|Etfb|Uqcr11|Uqcrb|Ndufb8|Ndufc2|Cox7b|Cox8a|Mybbp1a|Cox6a1|Uqcrq|Uqcr10|Ndufa8|Cox7c|Cox6c|Cycs|Ndufa12|Cox5b
28,KEGG,mmu04932,NA,Non-alcoholic fatty liver disease,2.98e-10,9.88e-12,18,147,10090,Cox5a|Uqcr11|Uqcrb|Ndufb8|Ndufc2|Ndufab1|Cox7b|Ndufc1|Cox8a|Cox6a1|Uqcrq|Uqcr10|Ndufa8|Cox6b1|Cox7c|Cox6c|Ndufa12|Ndufa4
28,KEGG,mmu03050,NA,Proteasome,3.88e-10,1.4e-11,12,46,10090,Psmb4|Psmb1|Psmb6|Psmb5|Psma7|Psmb2|Psma4|Sem1|Psma5|Psmb3|Psma3|Psma2
28,Process,GO:0019646,NA,Aerobic electron transport chain,4.47e-10,2.57e-12,14,65,10090,Cox5a|Uqcr11|Uqcrb|Ndufb8|Ndufc2|Cox8a|Cox6a1|Uqcrq|Uqcr10|Ndufa8|Cox7c|Cox6c|Cycs|Cox5b
28,Process,GO:0000028,NA,Ribosomal small subunit assembly,9.37e-10,5.62e-12,10,21,10090,Rpsa|Rps15|Rps25|Rps2|Rpl38|Rps19|Rps5|Rps27l|Rps28|Rps14
28,Process,GO:0045727,NA,Positive regulation of translation,7.77e-08,4.81e-10,16,143,10090,Cdk4|Uqcc2|Rps3a1|Cnbp|Pkm|Rbm3|Eif5a|Npm1|C1qbp|Ybx1|Rpl5|Rps9|Rps27l|Rpl26|Hnrnpd|Ddx39b
28,Process,GO:0008380,NA,RNA splicing,9.77e-08,6.1e-10,24,364,10090,Snrpd1|Snrpf|Snrpd3|Alyref|Lsm4|Snrpd2|Hnrnpa1|Lsm7|C1qbp|Ybx1|Snrpa|Snrpg|Hnrnpa2b1|Snrpb|Sf3b5|Prmt1|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Snrpe|Ddx39|Ddx39b
28,Process,GO:0050821,NA,Protein stabilization,1.18e-07,7.41e-10,18,196,10090,Cct3|Calr|Pfn1|Cct5|Hsp90ab1|Cct8|Hspd1|Atp1b1|Ppib|Cct2|Ptges3|Npm1|Rpl5|Rpl23|Rpl11|Park7|Gapdh|Cct6a
28,KEGG,mmu04260,NA,Cardiac muscle contraction,1.59e-07,6.24e-09,12,84,10090,Cox5a|Uqcr11|Uqcrb|Atp1b1|Cox7b|Cox8a|Cox6a1|Uqcrq|Uqcr10|Cox6b1|Cox7c|Cox6c
28,Process,GO:0140694,NA,Non-membrane-bounded organelle assembly,2.1e-07,1.34e-09,22,317,10090,Tubb5|Rpl24|Rpl6|Rps3|Lsm4|Rpsa|Rps23|Rps15|C1qbp|Rps25|Rpl5|Rpl10|Rplp0|Rps2|Rpl23a|Rpl11|Rpl38|Rps19|Rps5|Rps27l|Rps28|Rps14
28,Process,GO:0000398,NA,"mRNA splicing, via spliceosome",2.13e-07,1.37e-09,19,231,10090,Snrpd1|Snrpf|Snrpd3|Lsm4|Snrpd2|Hnrnpa1|Lsm7|Snrpa|Snrpg|Hnrnpa2b1|Snrpb|Sf3b5|Hnrnpa3|Srsf3|Snrpa1|Lsm6|Snrpe|Ddx39|Ddx39b
28,KEGG,mmu05017,NA,Spinocerebellar ataxia,5.24e-07,2.21e-08,14,140,10090,Psmb4|Psmb1|Slc25a5|Psmb6|Psmb5|Psma7|Psmb2|Slc25a4|Psma4|Sem1|Psma5|Psmb3|Psma3|Psma2
28,Process,GO:0031647,NA,Regulation of protein stability,1.03e-06,6.91e-09,21,317,10090,Cct3|Calr|Pfn1|Cct5|Hsp90ab1|Cct8|Hspd1|Atp1b1|Tomm7|Ppib|Cct2|Ptges3|Npm1|Rpl5|Serf2|Rpl23|Rpl11|Park7|Gapdh|Dad1|Cct6a
28,Process,GO:0006457,NA,Protein folding,1.3e-06,8.8e-09,16,178,10090,Cct3|Calr|Cct5|Hsp90ab1|Cct8|Hspd1|Hspa5|Pdia3|Ppib|Cct2|Fkbp1a|Ptges3|Hspe1|Wdr83os|Ppia|Cct6a
28,Process,GO:0000027,NA,Ribosomal large subunit assembly,1.88e-06,1.28e-08,8,26,10090,Rpl24|Rpl6|Rpl5|Rpl10|Rplp0|Rpl23a|Rpl11|Rpl38
28,Process,GO:0071353,NA,Cellular response to interleukin-4,3.83e-06,2.63e-08,8,29,10090,Cdk4|Hsp90ab1|Hspa5|Tuba1b|Impdh2|Rpl3|Rplp0|Rps2
28,Process,GO:0000387,NA,Spliceosomal snRNP assembly,1.06e-05,7.59e-08,8,34,10090,Snrpd1|Snrpf|Snrpd3|Lsm4|Snrpd2|Snrpg|Snrpb|Snrpe
28,Process,GO:0006123,NA,"Mitochondrial electron transport, cytochrome c to oxygen",1.23e-05,8.84e-08,7,22,10090,Cox5a|Cox8a|Cox6a1|Cox7c|Cox6c|Cycs|Cox5b
28,Process,GO:0061077,NA,Chaperone-mediated protein folding,1.43e-05,1.03e-07,10,69,10090,Cct3|Cct5|Cct8|Hspa5|Ppib|Cct2|Fkbp1a|Ptges3|Hspe1|Cct6a
28,Process,GO:0006397,NA,mRNA processing,1.8e-05,1.33e-07,23,452,10090,Snrpd1|Snrpf|Snrpd3|Alyref|Lsm4|Snrpd2|Hnrnpa1|Lsm7|C1qbp|Ybx1|Snrpa|Snrpg|Hnrnpa2b1|Snrpb|Sf3b5|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Snrpe|Ddx39|Ddx39b
28,Process,GO:0051444,NA,Negative regulation of ubiquitin-protein transferase activity,1.92e-05,1.45e-07,7,24,10090,Rpl37|Rps15|Rpl5|Rpl23|Rpl11|Park7|Rps20
28,Process,GO:0006414,NA,Translational elongation,2.96e-05,2.26e-07,8,40,10090,Rplp1|Rack1|Eef1a1|Eif5a|Rplp2|Eef1g|Eef1d|Eef1b2
28,Process,GO:0006403,NA,RNA localization,5.13e-05,3.95e-07,14,180,10090,Alyref|Cct2|Fbl|Sem1|Hnrnpa1|Eif5a|Npm1|Ybx1|Hnrnpa2b1|Ran|Hnrnpa3|Srsf3|Ddx39|Ddx39b
28,Process,GO:1901796,NA,Regulation of signal transduction by p53 class mediator,5.72e-05,4.44e-07,10,82,10090,Mif|Rpl37|Rps15|Npm1|Rpl5|Rpl23|Rpl11|Hnrnpk|Rps20|Rpl26
28,Process,GO:2000573,NA,Positive regulation of DNA biosynthetic process,5.72e-05,4.44e-07,10,82,10090,Cct3|Cct5|Hsp90ab1|Cct8|Cct2|Hnrnpa1|Ptges3|Npm1|Ddx39b|Cct6a
28,Process,GO:2000278,NA,Regulation of DNA biosynthetic process,6.87e-05,5.42e-07,12,131,10090,Cct3|Cct5|Hsp90ab1|Cct8|Cct2|Hnrnpa1|Ptges3|Npm1|Hnrnpa2b1|Hnrnpd|Ddx39b|Cct6a
28,Process,GO:0098761,NA,Cellular response to interleukin-7,7.66e-05,6.09e-07,6,18,10090,Atp5b|Hspd1|Atic|Pdia3|Ybx1|Hmgb1
28,Process,GO:0030490,NA,Maturation of SSU-rRNA,0.00013,1.02e-06,8,50,10090,Gtf2h5|Rps21|Rps8|Rps16|Rps19|Lsm6|Rps28|Rps14
28,Process,GO:1904851,NA,Positive regulation of establishment of protein localization to telomere,0.00014,1.13e-06,5,10,10090,Cct3|Cct5|Cct8|Cct2|Cct6a
28,Process,GO:1903427,NA,Negative regulation of reactive oxygen species biosynthetic process,0.00024,2.03e-06,6,23,10090,Hspd1|Ndufc2|Eef1a1|Atp5g1|Park7|Cycs
28,Process,GO:1904358,NA,Positive regulation of telomere maintenance via telomere lengthening,0.00025,2.14e-06,7,38,10090,Cct3|Cct5|Cct8|Cct2|Hnrnpa1|Hnrnpa2b1|Cct6a
28,Process,GO:0015931,NA,Nucleobase-containing compound transport,0.00043,3.67e-06,14,220,10090,Slc25a5|Alyref|Slc25a4|Sem1|Hnrnpa1|Eif5a|Npm1|Ybx1|Hnrnpa2b1|Ran|Hnrnpa3|Srsf3|Ddx39|Ddx39b
28,Process,GO:0051438,NA,Regulation of ubiquitin-protein transferase activity,0.00045,3.93e-06,8,61,10090,Rpl37|Rps15|Rpl5|Rps2|Rpl23|Rpl11|Park7|Rps20
28,Process,GO:0050658,NA,RNA transport,0.00047,4.05e-06,12,161,10090,Alyref|Sem1|Hnrnpa1|Eif5a|Npm1|Ybx1|Hnrnpa2b1|Ran|Hnrnpa3|Srsf3|Ddx39|Ddx39b
28,Process,GO:0006122,NA,"Mitochondrial electron transport, ubiquinol to cytochrome c",0.00047,4.19e-06,5,14,10090,Uqcr11|Uqcrb|Uqcrq|Uqcr10|Cycs
28,Process,GO:0043484,NA,Regulation of RNA splicing,0.00059,5.36e-06,13,196,10090,Rps26|Ncl|Rbm3|Hnrnpa1|Prdx6|Npm1|C1qbp|Hnrnpa2b1|Sf3b5|Hnrnpk|Srsf3|Taf10|Rps13
28,Process,GO:0031396,NA,Regulation of protein ubiquitination,0.00062,5.67e-06,14,229,10090,Rbx1|Hsp90ab1|Hspa5|Rps3|Rpl37|Rps15|Npm1|Rpl5|Rps2|Rpl23|Rpl11|Park7|Ppia|Rps20
28,Process,GO:0051054,NA,Positive regulation of DNA metabolic process,0.00064,5.94e-06,17,334,10090,Cct3|Pfn1|Cct5|Hsp90ab1|Cct8|Rps3|Cct2|Hnrnpa1|Ptges3|Npm1|Hmgb1|Hnrnpa2b1|Actb|Hnrnpab|Hnrnpd|Ddx39b|Cct6a
28,Process,GO:0051168,NA,Nuclear export,0.00078,7.28e-06,11,142,10090,Calr|Alyref|Sem1|Hnrnpa1|Rps15|Npm1|Hnrnpa2b1|Ran|Srsf3|Ddx39|Ddx39b
28,Process,GO:0033119,NA,Negative regulation of RNA splicing,0.00082,7.7e-06,6,30,10090,Rps26|Npm1|C1qbp|Hnrnpa2b1|Hnrnpk|Rps13
28,Process,GO:0031397,NA,Negative regulation of protein ubiquitination,0.00094,8.85e-06,9,92,10090,Rps3|Rpl37|Rps15|Rpl5|Rpl23|Rpl11|Park7|Ppia|Rps20
28,Process,GO:0000470,NA,Maturation of LSU-rRNA,0.00095,9.08e-06,6,31,10090,Rpl10a|Rpl7|Npm1|Rpl35|Rpl7a|Nhp2
28,Process,GO:1901798,NA,Positive regulation of signal transduction by p53 class mediator,0.00095,9.08e-06,6,31,10090,Rpl37|Rps15|Rpl23|Rpl11|Rps20|Rpl26
28,Process,GO:0032206,NA,Positive regulation of telomere maintenance,0.0011,1.09e-05,8,71,10090,Cct3|Cct5|Cct8|Cct2|Hnrnpa1|Hnrnpa2b1|Hnrnpd|Cct6a
28,Process,GO:0045454,NA,Cell redox homeostasis,0.0013,1.25e-05,6,33,10090,Txn1|Apex1|Prdx6|Gpx1|Prdx2|Prdx1
28,Process,GO:0032212,NA,Positive regulation of telomere maintenance via telomerase,0.0015,1.45e-05,6,34,10090,Cct3|Cct5|Cct8|Cct2|Hnrnpa1|Cct6a
28,Process,GO:0000462,NA,"Maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.002,1.94e-05,6,36,10090,Gtf2h5|Rps21|Rps8|Rps16|Rps19|Rps14
28,Process,GO:0009219,NA,Pyrimidine deoxyribonucleotide metabolic process,0.0027,2.66e-05,5,22,10090,Nme2|Dtymk|Dctpp1|Nme1|Dctd
28,KEGG,mmu04141,NA,Protein processing in endoplasmic reticulum,0.0035,0.00016,10,169,10090,Calr|Rbx1|Hsp90ab1|Hspa5|Pdia3|Pdia6|Sec61b|Dad1|Ssr4|Sec61g
28,KEGG,mmu00240,NA,Pyrimidine metabolism,0.0035,0.00017,6,55,10090,Nme2|Nme4|Dtymk|Dctpp1|Nme1|Dctd
28,Process,GO:0009221,NA,Pyrimidine deoxyribonucleotide biosynthetic process,0.0038,3.86e-05,4,11,10090,Nme2|Dtymk|Nme1|Dctd
28,Process,GO:0042743,NA,Hydrogen peroxide metabolic process,0.0041,4.24e-05,6,42,10090,Prdx6|Gpx1|Park7|Prdx2|Prdx1|Cycs
28,Process,GO:0009147,NA,Pyrimidine nucleoside triphosphate metabolic process,0.0044,4.55e-05,5,25,10090,Nme2|Nme4|Dtymk|Dctpp1|Nme1
28,Process,GO:0006183,NA,GTP biosynthetic process,0.0048,5.09e-05,4,12,10090,Nme2|Nme4|Impdh2|Nme1
28,Process,GO:0006220,NA,Pyrimidine nucleotide metabolic process,0.005,5.36e-05,6,44,10090,Nme2|Nme4|Dtymk|Dctpp1|Nme1|Dctd
28,Process,GO:2000765,NA,Regulation of cytoplasmic translation,0.005,5.36e-05,5,26,10090,Cnbp|Pkm|Ybx1|Rpl13a|Hnrnpd
28,Process,GO:0006165,NA,Nucleoside diphosphate phosphorylation,0.0051,5.57e-05,7,66,10090,Pgam1|Galk1|Nme2|Nme4|Pkm|Gapdh|Nme1
28,Process,GO:0034101,NA,Erythrocyte homeostasis,0.0054,5.9e-05,9,119,10090,Slc25a5|Sfxn1|Atpif1|Rps17|Rps6|Rps19|Prdx1|Rps24|Rps14
28,Process,GO:0048024,NA,"Regulation of mRNA splicing, via spliceosome",0.0071,7.94e-05,9,124,10090,Ncl|Rbm3|Hnrnpa1|Prdx6|Npm1|C1qbp|Hnrnpa2b1|Hnrnpk|Srsf3
28,Process,GO:0002262,NA,Myeloid cell homeostasis,0.0072,8.14e-05,10,155,10090,Slc25a5|Sfxn1|Atpif1|Rps17|Hmgb1|Rps6|Rps19|Prdx1|Rps24|Rps14
28,Process,GO:2000767,NA,Positive regulation of cytoplasmic translation,0.0074,8.38e-05,4,14,10090,Cnbp|Pkm|Ybx1|Hnrnpd
28,Process,GO:0009132,NA,Nucleoside diphosphate metabolic process,0.0076,8.64e-05,8,97,10090,Pgam1|Galk1|Nme2|Nme4|Dtymk|Pkm|Gapdh|Nme1
28,Process,GO:0000302,NA,Response to reactive oxygen species,0.0079,9.08e-05,11,190,10090,Hspd1|Rps3|Apex1|Prdx6|Gpx1|Romo1|Akr1b3|Park7|Prdx2|Prdx1|Cfl1
28,Process,GO:0006913,NA,Nucleocytoplasmic transport,0.0079,9.16e-05,13,261,10090,Calr|Alyref|Sem1|Hnrnpa1|Rps15|Npm1|Hnrnpa2b1|Ran|Ranbp1|Srsf3|Ddx39|Ddx39b|Cfl1
28,Process,GO:0009124,NA,Nucleoside monophosphate biosynthetic process,0.0079,9.25e-05,6,49,10090,Aprt|Nme2|Atic|Impdh2|Nme1|Dctd
28,Process,GO:0006221,NA,Pyrimidine nucleotide biosynthetic process,0.0084,9.81e-05,5,30,10090,Nme2|Nme4|Dtymk|Nme1|Dctd
28,Process,GO:0046039,NA,GTP metabolic process,0.0094,0.00011,5,31,10090,Nme2|Nme4|Impdh2|Ran|Nme1
28,Process,GO:0051028,NA,mRNA transport,0.0098,0.00012,9,131,10090,Alyref|Sem1|Hnrnpa1|Eif5a|Hnrnpa2b1|Hnrnpa3|Srsf3|Ddx39|Ddx39b
28,Process,GO:0050684,NA,Regulation of mRNA processing,0.01,0.00012,10,163,10090,Ncl|Rbm3|Hnrnpa1|Prdx6|Npm1|C1qbp|Snrpa|Hnrnpa2b1|Hnrnpk|Srsf3
28,Process,GO:1901998,NA,Toxin transport,0.0103,0.00012,6,52,10090,Cct3|Cct5|Cct8|Hspa5|Cct2|Cct6a
28,Process,GO:0007005,NA,Mitochondrion organization,0.0124,0.00015,18,481,10090,Slc25a5|Timm13|Uqcc2|Ndufb8|Hspd1|Tomm7|Ndufc2|Ndufab1|Slc25a4|Ndufc1|Atpif1|Ndufa8|Romo1|Chchd2|Atp5d|Park7|Ndufa12|Calm1
28,Process,GO:0007004,NA,Telomere maintenance via telomerase,0.0128,0.00016,4,17,10090,Hsp90ab1|Nop10|Ptges3|Nhp2
28,Process,GO:0051651,NA,Maintenance of location in cell,0.0131,0.00016,8,107,10090,Pfn1|Hspa5|Txn1|Ftl1|Park7|Tmsb4x|Tmsb10|Fth1
28,Process,GO:1903311,NA,Regulation of mRNA metabolic process,0.0141,0.00018,14,319,10090,Ncl|Rbm3|Apex1|Hnrnpa1|Prdx6|Npm1|C1qbp|Ybx1|Snrpa|Hnrnpa2b1|Hnrnpab|Hnrnpk|Srsf3|Hnrnpd
28,Process,GO:0065002,NA,Intracellular protein transmembrane transport,0.0154,0.0002,6,57,10090,Hspd1|Hspa5|Tomm7|Sec61b|Romo1|Sec61g
28,Process,GO:0009123,NA,Nucleoside monophosphate metabolic process,0.0163,0.00021,7,83,10090,Aprt|Nme2|Atic|Dtymk|Impdh2|Nme1|Dctd
28,KEGG,mmu03008,NA,Ribosome biogenesis in eukaryotes,0.0172,0.00088,6,77,10090,Emg1|Nop10|Rexo2|Fbl|Ran|Nhp2
28,Process,GO:0009148,NA,Pyrimidine nucleoside triphosphate biosynthetic process,0.0177,0.00023,4,19,10090,Nme2|Nme4|Dtymk|Nme1
28,Process,GO:0032981,NA,Mitochondrial respiratory chain complex I assembly,0.018,0.00024,6,59,10090,Ndufb8|Ndufc2|Ndufab1|Ndufc1|Ndufa8|Ndufa12
28,Process,GO:2001242,NA,Regulation of intrinsic apoptotic signaling pathway,0.0186,0.00025,10,179,10090,Rack1|Ybx3|Rps3|Mif|Gpx1|Rpl11|Park7|Hnrnpk|Ppia|Rpl26
28,Process,GO:0006405,NA,RNA export from nucleus,0.0193,0.00026,7,86,10090,Alyref|Sem1|Npm1|Hnrnpa2b1|Srsf3|Ddx39|Ddx39b
28,Process,GO:1990542,NA,Mitochondrial transmembrane transport,0.0193,0.00026,7,86,10090,Slc25a5|Sfxn1|Hspd1|Tomm7|Slc25a4|Slc25a3|Romo1
28,Process,GO:0006231,NA,dTMP biosynthetic process,0.0198,0.00027,3,7,10090,Nme2|Nme1|Dctd
28,Process,GO:0010498,NA,Proteasomal protein catabolic process,0.024,0.00033,15,382,10090,Calr|Psmb4|Psmb1|Psmb6|Psmb5|Rbx1|Hspa5|Psma7|Psmb2|Psma4|Sec61b|Psma5|Psmb3|Psma3|Psma2
28,Process,GO:0032071,NA,Regulation of endodeoxyribonuclease activity,0.0262,0.00036,3,8,10090,Rps3|Npm1|Hmgb1
28,Process,GO:0046931,NA,Pore complex assembly,0.027,0.00038,4,22,10090,Cct3|Cct8|Atp5g1|Atp5g3
28,Process,GO:0034599,NA,Cellular response to oxidative stress,0.031,0.00044,11,230,10090,Rps3|Apex1|Gpx1|Romo1|Chchd2|Akr1b3|Park7|Prdx2|Prdx1|Ppia|Cfl1
28,Process,GO:0006979,NA,Response to oxidative stress,0.0311,0.00044,15,393,10090,Psmb5|Hspd1|Rps3|Apex1|Prdx6|Gpx1|Romo1|Chchd2|Akr1b3|Park7|Prdx2|Prdx1|Ppia|Ndufa12|Cfl1
28,KEGG,mmu01200,NA,Carbon metabolism,0.0334,0.0018,7,122,10090,Pgam1|Mdh2|Tkt|Acat1|Pkm|Phgdh|Gapdh
28,Process,GO:0000056,NA,Ribosomal small subunit export from nucleus,0.0336,0.00048,3,9,10090,Rps15|Npm1|Ran
28,Process,GO:0031204,NA,"Post-translational protein targeting to membrane, translocation",0.0336,0.00048,3,9,10090,Hspa5|Sec61b|Sec61g
28,Process,GO:0034614,NA,Cellular response to reactive oxygen species,0.0336,0.00049,8,127,10090,Rps3|Apex1|Romo1|Akr1b3|Park7|Prdx2|Prdx1|Cfl1
28,Process,GO:0042744,NA,Hydrogen peroxide catabolic process,0.0347,0.0005,4,24,10090,Prdx6|Gpx1|Prdx2|Prdx1
28,Process,GO:0033108,NA,Mitochondrial respiratory chain complex assembly,0.0371,0.00054,7,98,10090,Uqcc2|Ndufb8|Ndufc2|Ndufab1|Ndufc1|Ndufa8|Ndufa12
28,Process,GO:1903312,NA,Negative regulation of mRNA metabolic process,0.0371,0.00054,7,98,10090,Npm1|C1qbp|Ybx1|Hnrnpa2b1|Hnrnpab|Hnrnpk|Hnrnpd
